Country Name,Country Code,Indicator Name,Series Code,Year,Time Code,Value
Argentina,ARG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,2015,YR2015,
Argentina,ARG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,2016,YR2016,
Argentina,ARG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,2017,YR2017,
Argentina,ARG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,2018,YR2018,-1.62
Argentina,ARG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,2019,YR2019,
Argentina,ARG,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,2015,YR2015,
Argentina,ARG,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,2016,YR2016,
Argentina,ARG,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,2017,YR2017,
Argentina,ARG,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,2018,YR2018,-1.55
Argentina,ARG,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,2019,YR2019,
Argentina,ARG,Gini index (World Bank estimate),SI.POV.GINI,2015,YR2015,
Argentina,ARG,Gini index (World Bank estimate),SI.POV.GINI,2016,YR2016,42
Argentina,ARG,Gini index (World Bank estimate),SI.POV.GINI,2017,YR2017,41.2
Argentina,ARG,Gini index (World Bank estimate),SI.POV.GINI,2018,YR2018,41.4
Argentina,ARG,Gini index (World Bank estimate),SI.POV.GINI,2019,YR2019,
Argentina,ARG,Income share held by fourth 20%,SI.DST.04TH.20,2015,YR2015,
Argentina,ARG,Income share held by fourth 20%,SI.DST.04TH.20,2016,YR2016,23
Argentina,ARG,Income share held by fourth 20%,SI.DST.04TH.20,2017,YR2017,23.2
Argentina,ARG,Income share held by fourth 20%,SI.DST.04TH.20,2018,YR2018,23.2
Argentina,ARG,Income share held by fourth 20%,SI.DST.04TH.20,2019,YR2019,
Argentina,ARG,Income share held by highest 10%,SI.DST.10TH.10,2015,YR2015,
Argentina,ARG,Income share held by highest 10%,SI.DST.10TH.10,2016,YR2016,30.3
Argentina,ARG,Income share held by highest 10%,SI.DST.10TH.10,2017,YR2017,29.7
Argentina,ARG,Income share held by highest 10%,SI.DST.10TH.10,2018,YR2018,29.9
Argentina,ARG,Income share held by highest 10%,SI.DST.10TH.10,2019,YR2019,
Argentina,ARG,Income share held by highest 20%,SI.DST.05TH.20,2015,YR2015,
Argentina,ARG,Income share held by highest 20%,SI.DST.05TH.20,2016,YR2016,47.1
Argentina,ARG,Income share held by highest 20%,SI.DST.05TH.20,2017,YR2017,46.4
Argentina,ARG,Income share held by highest 20%,SI.DST.05TH.20,2018,YR2018,46.5
Argentina,ARG,Income share held by highest 20%,SI.DST.05TH.20,2019,YR2019,
Argentina,ARG,Income share held by lowest 10%,SI.DST.FRST.10,2015,YR2015,
Argentina,ARG,Income share held by lowest 10%,SI.DST.FRST.10,2016,YR2016,1.8
Argentina,ARG,Income share held by lowest 10%,SI.DST.FRST.10,2017,YR2017,1.8
Argentina,ARG,Income share held by lowest 10%,SI.DST.FRST.10,2018,YR2018,1.8
Argentina,ARG,Income share held by lowest 10%,SI.DST.FRST.10,2019,YR2019,
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,2015,YR2015,
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,2016,YR2016,4.9
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,2017,YR2017,5.1
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,2018,YR2018,5
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,2019,YR2019,
Argentina,ARG,Income share held by second 20%,SI.DST.02ND.20,2015,YR2015,
Argentina,ARG,Income share held by second 20%,SI.DST.02ND.20,2016,YR2016,9.7
Argentina,ARG,Income share held by second 20%,SI.DST.02ND.20,2017,YR2017,10
Argentina,ARG,Income share held by second 20%,SI.DST.02ND.20,2018,YR2018,9.9
Argentina,ARG,Income share held by second 20%,SI.DST.02ND.20,2019,YR2019,
Argentina,ARG,Income share held by third 20%,SI.DST.03RD.20,2015,YR2015,
Argentina,ARG,Income share held by third 20%,SI.DST.03RD.20,2016,YR2016,15.2
Argentina,ARG,Income share held by third 20%,SI.DST.03RD.20,2017,YR2017,15.4
Argentina,ARG,Income share held by third 20%,SI.DST.03RD.20,2018,YR2018,15.4
Argentina,ARG,Income share held by third 20%,SI.DST.03RD.20,2019,YR2019,
Argentina,ARG,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,2015,YR2015,
Argentina,ARG,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,2016,YR2016,
Argentina,ARG,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,2017,YR2017,
Argentina,ARG,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,2018,YR2018,
Argentina,ARG,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,2019,YR2019,
Argentina,ARG,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",SI.POV.MDIM.17,2015,YR2015,
Argentina,ARG,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",SI.POV.MDIM.17,2016,YR2016,
Argentina,ARG,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",SI.POV.MDIM.17,2017,YR2017,
Argentina,ARG,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",SI.POV.MDIM.17,2018,YR2018,
Argentina,ARG,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",SI.POV.MDIM.17,2019,YR2019,
Argentina,ARG,"Multidimensional poverty headcount ratio, female (% of female population)",SI.POV.MDIM.FE,2015,YR2015,
Argentina,ARG,"Multidimensional poverty headcount ratio, female (% of female population)",SI.POV.MDIM.FE,2016,YR2016,
Argentina,ARG,"Multidimensional poverty headcount ratio, female (% of female population)",SI.POV.MDIM.FE,2017,YR2017,
Argentina,ARG,"Multidimensional poverty headcount ratio, female (% of female population)",SI.POV.MDIM.FE,2018,YR2018,
Argentina,ARG,"Multidimensional poverty headcount ratio, female (% of female population)",SI.POV.MDIM.FE,2019,YR2019,
Argentina,ARG,"Multidimensional poverty headcount ratio, household (% of total households)",SI.POV.MDIM.HH,2015,YR2015,
Argentina,ARG,"Multidimensional poverty headcount ratio, household (% of total households)",SI.POV.MDIM.HH,2016,YR2016,
