Country Name,Country Code,Indicator Name,Series Code,Year,Time Code,Value
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2010,YR2010,63.3154
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2011,YR2011,63.4412
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2012,YR2012,63.567
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2013,YR2013,63.41
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2014,YR2014,63.253
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2015,YR2015,63.096
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2016,YR2016,62.939
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2017,YR2017,62.782
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2018,YR2018,62.5654
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2019,YR2019,
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2010,YR2010,7.132167451
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2011,YR2011,6.99873377
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2012,YR2012,5.781744207
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2013,YR2013,6.052918437
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2014,YR2014,6.712703514
